100 50
1 1 N
1 2 H
1 3 N
1 4 B
1 5 T
1 6 N
1 7 H
1 8 N
1 9 N
1 10 H
1 11 H
1 12 N
1 13 B
1 14 N
1 15 N
1 16 N
1 17 N
1 18 H
1 19 N
1 20 N
1 21 H
1 22 N
1 23 T
1 24 B
1 25 N
1 26 N
1 27 N
1 28 N
1 29 H
1 30 N
1 31 N
1 32 N
1 33 T
1 34 N
1 35 N
1 36 N
1 37 N
1 38 T
1 39 N
1 40 T
1 41 B
1 42 B
1 43 T
1 44 N
1 45 B
1 46 T
1 47 N
1 48 N
1 49 H
1 50 H
2 1 T
2 2 H
2 3 H
2 4 H
2 5 H
2 6 H
2 7 B
2 8 N
2 9 N
2 10 T
2 11 N
2 12 N
2 13 H
2 14 H
2 15 N
2 16 H
2 17 N
2 18 N
2 19 N
2 20 N
2 21 N
2 22 N
2 23 N
2 24 N
2 25 T
2 26 H
2 27 N
2 28 T
2 29 B
2 30 N
2 31 T
2 32 T
2 33 N
2 34 T
2 35 H
2 36 T
2 37 N
2 38 N
2 39 H
2 40 N
2 41 H
2 42 N
2 43 N
2 44 B
2 45 T
2 46 T
2 47 N
2 48 H
2 49 H
2 50 N
3 1 H
3 2 H
3 3 N
3 4 N
3 5 N
3 6 T
3 7 T
3 8 H
3 9 N
3 10 H
3 11 N
3 12 N
3 13 N
3 14 B
3 15 N
3 16 B
3 17 N
3 18 N
3 19 N
3 20 H
3 21 N
3 22 H
3 23 N
3 24 H
3 25 T
3 26 B
3 27 H
3 28 T
3 29 B
3 30 N
3 31 N
3 32 N
3 33 H
3 34 B
3 35 H
3 36 T
3 37 H
3 38 T
3 39 N
3 40 N
3 41 N
3 42 N
3 43 N
3 44 H
3 45 N
3 46 H
3 47 N
3 48 B
3 49 N
3 50 N
4 1 N
4 2 T
4 3 H
4 4 T
4 5 N
4 6 N
4 7 N
4 8 H
4 9 N
4 10 N
4 11 T
4 12 N
4 13 H
4 14 T
4 15 N
4 16 N
4 17 N
4 18 N
4 19 N
4 20 H
4 21 N
4 22 N
4 23 T
4 24 B
4 25 N
4 26 H
4 27 N
4 28 T
4 29 N
4 30 B
4 31 N
4 32 N
4 33 H
4 34 H
4 35 N
4 36 N
4 37 H
4 38 N
4 39 N
4 40 N
4 41 N
4 42 N
4 43 N
4 44 T
4 45 N
4 46 T
4 47 T
4 48 T
4 49 N
4 50 N
5 1 T
5 2 N
5 3 N
5 4 N
5 5 H
5 6 T
5 7 T
5 8 T
5 9 T
5 10 B
5 11 H
5 12 N
5 13 N
5 14 N
5 15 H
5 16 T
5 17 H
5 18 H
5 19 H
5 20 N
5 21 H
5 22 N
5 23 N
5 24 N
5 25 H
5 26 N
5 27 N
5 28 N
5 29 N
5 30 N
5 31 N
5 32 H
5 33 H
5 34 N
5 35 N
5 36 N
5 37 N
5 38 N
5 39 N
5 40 N
5 41 T
5 42 N
5 43 N
5 44 N
5 45 T
5 46 B
5 47 T
5 48 N
5 49 B
5 50 N
6 1 T
6 2 N
6 3 H
6 4 N
6 5 H
6 6 T
6 7 N
6 8 N
6 9 N
6 10 N
6 11 N
6 12 H
6 13 N
6 14 H
6 15 N
6 16 N
6 17 T
6 18 N
6 19 N
6 20 T
6 21 N
6 22 H
6 23 H
6 24 H
6 25 N
6 26 N
6 27 N
6 28 N
6 29 N
6 30 N
6 31 T
6 32 T
6 33 T
6 34 N
6 35 H
6 36 N
6 37 H
6 38 B
6 39 H
6 40 N
6 41 N
6 42 N
6 43 N
6 44 N
6 45 H
6 46 N
6 47 N
6 48 T
6 49 N
6 50 N
7 1 H
7 2 B
7 3 N
7 4 T
7 5 B
7 6 N
7 7 B
7 8 N
7 9 N
7 10 B
7 11 T
7 12 N
7 13 H
7 14 N
7 15 N
7 16 H
7 17 N
7 18 N
7 19 T
7 20 T
7 21 N
7 22 N
7 23 H
7 24 N
7 25 T
7 26 N
7 27 N
7 28 N
7 29 T
7 30 B
7 31 H
7 32 H
7 33 H
7 34 T
7 35 H
7 36 T
7 37 H
7 38 N
7 39 H
7 40 N
7 41 H
7 42 H
7 43 N
7 44 N
7 45 N
7 46 N
7 47 N
7 48 T
7 49 N
7 50 N
8 1 B
8 2 N
8 3 B
8 4 N
8 5 N
8 6 B
8 7 N
8 8 N
8 9 N
8 10 H
8 11 N
8 12 H
8 13 N
8 14 T
8 15 T
8 16 T
8 17 N
8 18 T
8 19 T
8 20 B
8 21 N
8 22 N
8 23 N
8 24 T
8 25 H
8 26 N
8 27 N
8 28 H
8 29 N
8 30 T
8 31 N
8 32 T
8 33 B
8 34 N
8 35 T
8 36 H
8 37 N
8 38 H
8 39 N
8 40 H
8 41 B
8 42 N
8 43 N
8 44 B
8 45 H
8 46 B
8 47 N
8 48 N
8 49 N
8 50 N
9 1 N
9 2 H
9 3 T
9 4 H
9 5 N
9 6 N
9 7 N
9 8 T
9 9 N
9 10 T
9 11 N
9 12 B
9 13 N
9 14 N
9 15 N
9 16 H
9 17 N
9 18 N
9 19 B
9 20 T
9 21 N
9 22 B
9 23 N
9 24 T
9 25 N
9 26 T
9 27 N
9 28 N
9 29 B
9 30 T
9 31 T
9 32 B
9 33 N
9 34 N
9 35 T
9 36 T
9 37 T
9 38 H
9 39 H
9 40 H
9 41 H
9 42 T
9 43 N
9 44 T
9 45 H
9 46 N
9 47 B
9 48 H
9 49 N
9 50 N
10 1 N
10 2 T
10 3 H
10 4 H
10 5 T
10 6 N
10 7 T
10 8 N
10 9 N
10 10 N
10 11 N
10 12 N
10 13 N
10 14 H
10 15 N
10 16 B
10 17 H
10 18 N
10 19 B
10 20 N
10 21 N
10 22 N
10 23 N
