100 50
1 1 H
1 2 T
1 3 T
1 4 T
1 5 N
1 6 T
1 7 B
1 8 B
1 9 H
1 10 N
1 11 N
1 12 N
1 13 T
1 14 N
1 15 T
1 16 N
1 17 H
1 18 T
1 19 T
1 20 T
1 21 N
1 22 T
1 23 N
1 24 N
1 25 T
1 26 N
1 27 N
1 28 N
1 29 T
1 30 H
1 31 B
1 32 H
1 33 B
1 34 T
1 35 H
1 36 N
1 37 N
1 38 N
1 39 N
1 40 N
1 41 H
1 42 H
1 43 H
1 44 N
1 45 B
1 46 N
1 47 N
1 48 N
1 49 N
1 50 N
2 1 B
2 2 N
2 3 H
2 4 T
2 5 T
2 6 T
2 7 H
2 8 T
2 9 N
2 10 H
2 11 B
2 12 T
2 13 H
2 14 N
2 15 T
2 16 N
2 17 T
2 18 N
2 19 N
2 20 B
2 21 N
2 22 N
2 23 B
2 24 B
2 25 N
2 26 N
2 27 T
2 28 N
2 29 N
2 30 H
2 31 H
2 32 T
2 33 N
2 34 T
2 35 T
2 36 N
2 37 N
2 38 B
2 39 N
2 40 H
2 41 B
2 42 T
2 43 B
2 44 N
2 45 N
2 46 N
2 47 N
2 48 T
2 49 H
2 50 H
3 1 H
3 2 T
3 3 N
3 4 B
3 5 B
3 6 N
3 7 N
3 8 H
3 9 N
3 10 N
3 11 T
3 12 N
3 13 B
3 14 B
3 15 H
3 16 N
3 17 T
3 18 B
3 19 N
3 20 N
3 21 N
3 22 B
3 23 N
3 24 N
3 25 T
3 26 B
3 27 H
3 28 N
3 29 N
3 30 N
3 31 N
3 32 N
3 33 T
3 34 H
3 35 N
3 36 H
3 37 H
3 38 N
3 39 T
3 40 H
3 41 T
3 42 T
3 43 N
3 44 N
3 45 H
3 46 T
3 47 N
3 48 N
3 49 H
3 50 H
4 1 T
4 2 H
4 3 N
4 4 N
4 5 H
4 6 T
4 7 T
4 8 N
4 9 T
4 10 T
4 11 N
4 12 N
4 13 N
4 14 T
4 15 B
4 16 H
4 17 H
4 18 N
4 19 H
4 20 T
4 21 H
4 22 N
4 23 N
4 24 N
4 25 N
4 26 T
4 27 T
4 28 T
4 29 N
4 30 N
4 31 N
4 32 T
4 33 T
4 34 B
4 35 H
4 36 B
4 37 N
4 38 N
4 39 N
4 40 N
4 41 T
4 42 T
